folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
106618,105909,2026-06-20T02:45:36-06:00,,2026-06-20T04:22:47-06:00,F1,4,78.0000,0.0000,False,0.0000,,,False,0,0.0000,False,12.00,881.0345,,1022.0000,1022.0000,140.9655,0.0000,1022.0000,1022.0000,0.0000,1022.0,0.0,0.0000,0.0,0.0000,0.0000,881.0345,500.0000,381.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,500.0000,381.0345,0.0000,,881.0345,140.9655,0.0000,0.0000,,,,0.0000
106623,105904,2026-06-20T03:02:22-06:00,,2026-06-20T03:32:30-06:00,E4,1,40.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,568.9655,,660.0000,660.0000,91.0345,0.0000,660.0000,660.0000,0.0000,660.0,0.0,0.0000,0.0,0.0000,0.0000,568.9655,384.4828,184.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,384.4828,184.4828,0.0000,,568.9655,91.0345,0.0000,0.0000,,,,0.0000
106624,105905,2026-06-20T03:03:55-06:00,,2026-06-20T03:47:46-06:00,T1,2,9.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,337.0690,,391.0000,391.0000,53.9310,0.0000,391.0000,391.0000,0.0000,391.0,0.0,0.0000,0.0,0.0000,0.0000,337.0690,250.0000,87.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,250.0000,87.0690,0.0000,,337.0690,53.9310,0.0000,0.0000,,,,0.0000
106625,105927,2026-06-20T03:12:59-06:00,,2026-06-20T05:31:25-06:00,T7,1,185.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,702.5862,,815.0000,815.0000,112.4138,0.0000,815.0000,815.0000,0.0000,815.0,0.0,0.0000,0.0,0.0000,0.0000,702.5862,600.8621,101.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,600.8621,101.7241,0.0000,,702.5862,112.4138,0.0000,0.0000,,,,0.0000
106630,105913,2026-06-20T03:50:15-06:00,,2026-06-20T04:38:34-06:00,A4,1,341.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,568.1034,,659.0000,659.0000,90.8966,0.0000,659.0000,659.0000,0.0000,659.0,0.0,0.0000,0.0,0.0000,0.0000,568.1034,361.2069,206.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,361.2069,206.8966,0.0000,,568.1034,90.8966,0.0000,0.0000,,,,0.0000
106634,105912,2026-06-20T03:54:13-06:00,,2026-06-20T04:37:27-06:00,E4,2,6.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,451.7241,,524.0000,524.0000,72.2759,0.0000,524.0000,524.0000,0.0000,524.0,0.0,0.0000,0.0,0.0000,0.0000,451.7241,291.3793,160.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,291.3793,160.3448,0.0000,,451.7241,72.2759,0.0000,0.0000,,,,0.0000
106643,105969,2026-06-20T04:33:56-06:00,,2026-06-20T08:51:46-06:00,L4,3,221.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,671.5517,,779.0000,779.0000,107.4483,0.0000,779.0000,779.0000,0.0000,779.0,0.0,0.0000,0.0,0.0000,0.0000,671.5517,480.1724,191.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,480.1724,191.3793,0.0000,,671.5517,107.4483,0.0000,0.0000,,,,0.0000
106644,105925,2026-06-20T04:35:05-06:00,,2026-06-20T05:28:04-06:00,L3,2,89.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,526.7241,,611.0000,611.0000,84.2759,0.0000,611.0000,611.0000,0.0000,611.0,0.0,0.0000,0.0,0.0000,0.0000,526.7241,303.4483,223.2759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,303.4483,223.2759,0.0000,,526.7241,84.2759,0.0000,0.0000,,,,0.0000
106658,105939,2026-06-20T05:31:49-06:00,,2026-06-20T06:23:33-06:00,F3,4,39.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,656.0345,,761.0000,761.0000,104.9655,0.0000,761.0000,761.0000,0.0000,761.0,0.0,0.0000,0.0,0.0000,0.0000,656.0345,609.4828,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,609.4828,46.5517,0.0000,,656.0345,104.9655,0.0000,0.0000,,,,0.0000
106668,105957,2026-06-20T06:19:20-06:00,,2026-06-20T07:27:01-06:00,S4,1,225.0000,0.0000,False,0.0000,,,False,0,0.0000,False,3.00,237.0690,,275.0000,275.0000,37.9310,0.0000,275.0000,275.0000,0.0000,275.0,0.0,0.0000,0.0,0.0000,0.0000,237.0690,133.6207,103.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.6207,103.4483,0.0000,,237.0690,37.9310,0.0000,0.0000,,,,0.0000
