folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
124545,123857,2026-07-28T02:37:10-06:00,,2026-07-28T03:16:42-06:00,6,1,49,8.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,139.6552,,162.0000,162.0000,22.3448,0.0000,162.0000,162.0000,0.0000,162.0,0.0,0.0000,0.0,0.0000,0.0000,139.6552,85.3448,54.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.3448,54.3103,0.0000,,139.6552,22.3448,0.0000,0.0000,,,,162.0000
124547,123859,2026-07-28T02:41:54-06:00,,2026-07-28T03:46:52-06:00,T1,2,13,1.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,481.8966,,559.0000,559.0000,77.1034,0.0000,559.0000,559.0000,0.0000,559.0,0.0,0.0000,0.0,0.0000,0.0000,481.8966,366.3793,115.5172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,366.3793,115.5172,0.0000,,481.8966,77.1034,0.0000,0.0000,,,,559.0000
124549,123865,2026-07-28T03:07:25-06:00,,2026-07-28T04:49:47-06:00,B3,2,48,80.0000,0.0000,False,0.0000,,,False,0,0.0000,False,4.00,362.0690,,420.0000,420.0000,57.9310,0.0000,420.0000,420.0000,0.0000,420.0,0.0,0.0000,0.0,0.0000,0.0000,362.0690,201.7241,160.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,201.7241,160.3448,0.0000,,362.0690,57.9310,0.0000,0.0000,,,,420.0000
124554,123862,2026-07-28T03:17:33-06:00,,2026-07-28T04:36:59-06:00,J3,2,46,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,9.00,603.4483,,700.0000,700.0000,96.5517,0.0000,700.0000,700.0000,0.0000,700.0,0.0,0.0000,0.0,0.0000,0.0000,603.4483,402.5862,200.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,402.5862,200.8621,0.0000,,603.4483,96.5517,0.0000,0.0000,,,,700.0000
124558,123864,2026-07-28T03:56:04-06:00,,2026-07-28T04:39:14-06:00,C2,2,49,14.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,418.9655,,486.0000,486.0000,67.0345,0.0000,486.0000,486.0000,0.0000,486.0,0.0,0.0000,0.0,0.0000,0.0000,418.9655,282.7586,130.1724,6.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,282.7586,130.1724,6.0345,,418.9655,67.0345,0.0000,0.0000,,,,486.0000
124559,123873,2026-07-28T03:57:01-06:00,,2026-07-28T05:50:14-06:00,J4,3,46,99.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,518.1034,,601.0000,601.0000,82.8966,0.0000,601.0000,601.0000,0.0000,601.0,0.0,0.0000,0.0,0.0000,0.0000,518.1034,450.8621,67.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,450.8621,67.2414,0.0000,,518.1034,82.8966,0.0000,0.0000,,,,601.0000
124560,123863,2026-07-28T03:57:35-06:00,,2026-07-28T04:38:59-06:00,T1,3,13,4.0000,0.0000,False,0.0000,,,False,0,0.0000,False,8.00,626.7241,,711.0000,711.0000,84.2759,0.0000,711.0000,711.0000,0.0000,711.0,0.0,0.0000,0.0,0.0000,0.0000,626.7241,421.5517,105.1724,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,421.5517,105.1724,100.0000,,626.7241,84.2759,0.0000,0.0000,,,,711.0000
124561,123867,2026-07-28T03:58:13-06:00,,2026-07-28T05:10:06-06:00,C1,2,49,433.0000,0.0000,False,0.0000,,,False,0,0.0000,False,6.00,488.7931,,567.0000,567.0000,78.2069,0.0000,567.0000,567.0000,0.0000,567.0,0.0,0.0000,0.0,0.0000,0.0000,488.7931,337.9310,150.8621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,337.9310,150.8621,0.0000,,488.7931,78.2069,0.0000,0.0000,,,,567.0000
124566,123877,2026-07-28T04:26:02-06:00,,2026-07-28T06:01:18-06:00,T3,3,13,96.0000,0.0000,False,0.0000,,,False,0,0.0000,False,7.00,520.6897,,604.0000,604.0000,83.3103,0.0000,604.0000,604.0000,0.0000,604.0,0.0,0.0000,0.0,0.0000,0.0000,520.6897,362.9310,157.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,362.9310,157.7586,0.0000,,520.6897,83.3103,0.0000,0.0000,,,,604.0000
124571,123870,2026-07-28T04:43:09-06:00,,2026-07-28T05:30:09-06:00,B4,3,48,62.0000,0.0000,False,0.0000,,,False,0,0.0000,False,5.00,463.7931,,538.0000,538.0000,74.2069,0.0000,538.0000,538.0000,0.0000,538.0,0.0,0.0000,0.0,0.0000,0.0000,463.7931,417.2414,46.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,417.2414,46.5517,0.0000,,463.7931,74.2069,0.0000,0.0000,,,,538.0000
