folio,numcheque,fecha,salidarepartidor,cierre,mesa,nopersonas,idmesero,cambio,descuento,facturado,cambiorepartidor,usuariodescuento,idtipodescuento,propinapagada,propinafoliomovtocaja,propinaincluida,propinamanual,totalarticulos,subtotal,subtotalsinimpuestos,total,totalconpropina,totalimpuesto1,cargo,totalconcargo,totalconpropinacargo,descuentoimporte,efectivo,tarjeta,vales,otros,propina,propinatarjeta,totalsindescuento,totalalimentos,totalbebidas,totalotros,totaldescuentos,totaldescuentoalimentos,totaldescuentobebidas,totaldescuentootros,totalcortesias,totalcortesiaalimentos,totalcortesiabebidas,totalcortesiaotros,totaldescuentoycortesia,totalalimentossindescuentos,totalbebidassindescuentos,totalotrossindescuentos,descuentocriterio,subtotalcondescuento,totalimpuestod1,totalcondonativo,totalconpropinacargodonativo,subtotal_ec,total_ec,totalconpropinacargo_ec,totalsindescuentoimp
106767,106163,2026-06-21T03:09:36-06:00,,2026-06-21T14:37:20-06:00,.CAFEDELDIA,1,17,0.0000,100.0000,False,0.0000,ABIGAIL OLMOS,002,False,0,0.0000,False,15.00,129.3103,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,129.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,129.3103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,129.3103,0.0000,129.3103,0.0000,129.3103,0.0000,129.3103,0.0000,1,0.0000,0.0000,0.0000,0.0000,,,,0.0000
106768,106155,2026-06-21T03:12:01-06:00,,2026-06-21T14:09:00-06:00,.HIRIAM,1,17,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,1.00,12.9310,,15.0000,15.0000,2.0690,0.0000,15.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,12.9310,12.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9310,0.0000,0.0000,,12.9310,2.0690,0.0000,0.0000,,,,0.0000
106769,106146,2026-06-21T03:12:18-06:00,,2026-06-21T13:15:42-06:00,.IAN,1,17,5.0000,0.0000,False,0.0000,,,False,0,0.0000,False,1.00,12.9310,,15.0000,15.0000,2.0690,0.0000,15.0000,15.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9310,12.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9310,0.0000,0.0000,,12.9310,2.0690,0.0000,0.0000,,,,0.0000
106770,106156,2026-06-21T03:12:41-06:00,,2026-06-21T14:09:07-06:00,.YOSEF,1,17,30.0000,0.0000,False,0.0000,,,False,0,0.0000,False,2.00,17.2414,,20.0000,20.0000,2.7586,0.0000,20.0000,20.0000,0.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2414,17.2414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2414,0.0000,0.0000,,17.2414,2.7586,0.0000,0.0000,,,,0.0000
106771,106059,2026-06-21T03:12:42-06:00,,2026-06-21T04:13:06-06:00,L4,4,44,0.0000,0.0000,False,0.0000,,,True,7860,0.0000,False,7.00,542.2414,,629.0000,629.0000,86.7586,0.0000,629.0000,629.0000,0.0000,0.0000,692.0000,0.0000,0.0000,63.0000,63.0000,542.2414,410.3448,131.8966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,410.3448,131.8966,0.0000,,542.2414,86.7586,0.0000,0.0000,,,,0.0000
106772,106117,2026-06-21T03:12:59-06:00,,2026-06-21T09:16:41-06:00,.NADIA,1,17,35.0000,0.0000,False,0.0000,,,False,0,0.0000,False,1.00,12.9310,,15.0000,15.0000,2.0690,0.0000,15.0000,15.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9310,12.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9310,0.0000,0.0000,,12.9310,2.0690,0.0000,0.0000,,,,0.0000
106773,106063,2026-06-21T03:13:13-06:00,,2026-06-21T04:26:12-06:00,L3,1,44,0.0000,0.0000,False,0.0000,,,True,7860,0.0000,False,5.00,446.5517,,518.0000,518.0000,71.4483,0.0000,518.0000,518.0000,0.0000,0.0000,569.8000,0.0000,0.0000,51.8000,51.8000,446.5517,446.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,446.5517,0.0000,0.0000,,446.5517,71.4483,0.0000,0.0000,,,,0.0000
106774,106064,2026-06-21T03:14:10-06:00,,2026-06-21T04:28:08-06:00,F7,4,47,0.0000,0.0000,False,0.0000,,,True,7864,0.0000,False,9.00,775.8621,,900.0000,900.0000,124.1379,0.0000,900.0000,900.0000,0.0000,0.0000,990.0000,0.0000,0.0000,90.0000,90.0000,775.8621,674.1379,101.7241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,674.1379,101.7241,0.0000,,775.8621,124.1379,0.0000,0.0000,,,,0.0000
106775,106098,2026-06-21T03:14:19-06:00,,2026-06-21T06:23:03-06:00,L1,1,44,0.0000,0.0000,False,0.0000,,,False,0,0.0000,False,11.00,1007.7586,,1169.0000,1169.0000,161.2414,0.0000,1169.0000,1169.0000,0.0000,0.0000,1169.0000,0.0000,0.0000,0.0000,0.0000,1007.7586,777.5862,230.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,777.5862,230.1724,0.0000,,1007.7586,161.2414,0.0000,0.0000,,,,0.0000
106776,106067,2026-06-21T03:14:33-06:00,,2026-06-21T04:35:13-06:00,L6,4,44,0.0000,0.0000,False,0.0000,,,True,7860,0.0000,False,12.00,931.0345,,1080.0000,1080.0000,148.9655,0.0000,1080.0000,1080.0000,0.0000,0.0000,1188.0000,0.0000,0.0000,108.0000,108.0000,931.0345,671.5517,259.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,671.5517,259.4828,0.0000,,931.0345,148.9655,0.0000,0.0000,,,,0.0000
